name,brightness
MVI_0501 01.jpg,66
MVI_0501 02.jpg,66
MVI_0501 03.jpg,66
MVI_0501 04.jpg,66
MVI_0501 05.jpg,68
MVI_0501 06.jpg,60
MVI_0501 07.jpg,57
MVI_0501 08.jpg,72
MVI_0501 09.jpg,31
MVI_0501 10.jpg,48
MVI_0501 11.jpg,69
MVI_0501 12.jpg,44
MVI_0501 13.jpg,59
MVI_0501 14.jpg,57
MVI_0501 15.jpg,51
MVI_0501 16.jpg,56
MVI_0501 17.jpg,60
MVI_0501 18.jpg,60
MVI_0501 19.jpg,73
MVI_0501 20.jpg,73
MVI_0501 21.jpg,62
MVI_0501 22.jpg,80
MVI_0501 23.jpg,50
MVI_0501 24.jpg,42
MVI_0501 25.jpg,52
MVI_0501 26.jpg,72
MVI_0501 27.jpg,81
MVI_0501 28.jpg,50
MVI_0501 29.jpg,49
MVI_0501 30.jpg,65
MVI_0501 31.jpg,65
MVI_0501 32.jpg,65
MVI_0501 33.jpg,76
MVI_0501 34.jpg,47
MVI_0501 35.jpg,59
MVI_0501 36.jpg,53
MVI_0501 37.jpg,63
MVI_0501 38.jpg,62
MVI_0501 39.jpg,76
MVI_0501 40.jpg,61
MVI_0501 41.jpg,62
MVI_0501 42.jpg,78
MVI_0501 43.jpg,46
MVI_0501 44.jpg,65
MVI_0501 45.jpg,53
MVI_0501 46.jpg,53
MVI_0501 47.jpg,58
MVI_0501 48.jpg,72
MVI_0501 49.jpg,66
MVI_0501 50.jpg,58
MVI_0501 51.jpg,45
MVI_0501 52.jpg,66
MVI_0501 53.jpg,61
MVI_0501 54.jpg,77
MVI_0501 55.jpg,54
MVI_0501 56.jpg,70
