name,brightness
MVI_0505 01.jpg,25
MVI_0505 02.jpg,25
MVI_0505 03.jpg,25
MVI_0505 04.jpg,30
MVI_0505 05.jpg,39
MVI_0505 06.jpg,29
MVI_0505 07.jpg,28
MVI_0505 08.jpg,38
MVI_0505 09.jpg,65
MVI_0505 10.jpg,74
MVI_0505 11.jpg,70
MVI_0505 12.jpg,59
MVI_0505 13.jpg,57
MVI_0505 14.jpg,53
MVI_0505 15.jpg,39
MVI_0505 16.jpg,33
MVI_0505 17.jpg,25
MVI_0505 18.jpg,17
MVI_0505 19.jpg,15
MVI_0505 20.jpg,27
MVI_0505 21.jpg,34
MVI_0505 22.jpg,38
MVI_0505 23.jpg,10
MVI_0505 24.jpg,6
MVI_0505 25.jpg,36
MVI_0505 26.jpg,39
MVI_0505 27.jpg,36
MVI_0505 28.jpg,34
MVI_0505 29.jpg,24
MVI_0505 30.jpg,34
MVI_0505 31.jpg,44
MVI_0505 32.jpg,49
MVI_0505 33.jpg,57
MVI_0505 34.jpg,57
MVI_0505 35.jpg,53
MVI_0505 36.jpg,55
MVI_0505 37.jpg,58
MVI_0505 38.jpg,61
MVI_0505 39.jpg,69
MVI_0505 40.jpg,76
MVI_0505 41.jpg,78
MVI_0505 42.jpg,68
MVI_0505 43.jpg,67
MVI_0505 44.jpg,56
MVI_0505 45.jpg,59
MVI_0505 46.jpg,66
MVI_0505 47.jpg,64
MVI_0505 48.jpg,67
MVI_0505 49.jpg,66
MVI_0505 50.jpg,68
MVI_0505 51.jpg,65
MVI_0505 52.jpg,59
MVI_0505 53.jpg,40
MVI_0505 54.jpg,40
MVI_0505 55.jpg,54
MVI_0505 56.jpg,57
MVI_0505 57.jpg,40
MVI_0505 58.jpg,44
MVI_0505 59.jpg,39
MVI_0505 60.jpg,37
MVI_0505 61.jpg,47
MVI_0505 62.jpg,60
MVI_0505 63.jpg,54
MVI_0505 64.jpg,58
MVI_0505 65.jpg,82
MVI_0505 66.jpg,61
MVI_0505 67.jpg,65
MVI_0505 68.jpg,40
MVI_0505 69.jpg,52
MVI_0505 70.jpg,40
MVI_0505 71.jpg,39
MVI_0505 72.jpg,49
MVI_0505 73.jpg,28
MVI_0505 74.jpg,20
MVI_0505 75.jpg,18
MVI_0505 76.jpg,10
MVI_0505 77.jpg,7
MVI_0505 78.jpg,4
MVI_0505 79.jpg,3
MVI_0505 80.jpg,2
MVI_0505 81.jpg,44
MVI_0505 82.jpg,59
MVI_0505 83.jpg,36
MVI_0505 84.jpg,43
MVI_0505 85.jpg,49
MVI_0505 86.jpg,43
MVI_0505 87.jpg,47
MVI_0505 88.jpg,53
