name,brightness
MVI_0500 01.jpg,59
MVI_0500 02.jpg,60
MVI_0500 03.jpg,60
MVI_0500 04.jpg,63
MVI_0500 05.jpg,64
MVI_0500 06.jpg,71
MVI_0500 07.jpg,58
MVI_0500 08.jpg,65
MVI_0500 09.jpg,50
MVI_0500 10.jpg,61
MVI_0500 11.jpg,60
MVI_0500 12.jpg,61
MVI_0500 13.jpg,70
MVI_0500 14.jpg,69
MVI_0500 15.jpg,81
MVI_0500 16.jpg,47
MVI_0500 17.jpg,64
MVI_0500 18.jpg,74
MVI_0500 19.jpg,35
MVI_0500 20.jpg,72
MVI_0500 21.jpg,57
MVI_0500 22.jpg,71
MVI_0500 23.jpg,58
MVI_0500 24.jpg,55
MVI_0500 25.jpg,68
MVI_0500 26.jpg,77
MVI_0500 27.jpg,69
MVI_0500 28.jpg,49
MVI_0500 29.jpg,62
MVI_0500 30.jpg,68
MVI_0500 31.jpg,66
MVI_0500 32.jpg,43
MVI_0500 33.jpg,65
MVI_0500 34.jpg,52
MVI_0500 35.jpg,43
MVI_0500 36.jpg,56
MVI_0500 37.jpg,62
MVI_0500 38.jpg,78
MVI_0500 39.jpg,64
MVI_0500 40.jpg,66
MVI_0500 41.jpg,55
MVI_0500 42.jpg,61
MVI_0500 43.jpg,75
MVI_0500 44.jpg,74
MVI_0500 45.jpg,68
MVI_0500 46.jpg,57
MVI_0500 47.jpg,59
MVI_0500 48.jpg,63
MVI_0500 49.jpg,72
MVI_0500 50.jpg,65
MVI_0500 51.jpg,49
MVI_0500 52.jpg,74
MVI_0500 53.jpg,48
