name,brightness
MVI_0506 01.jpg,57
MVI_0506 02.jpg,58
MVI_0506 03.jpg,58
MVI_0506 04.jpg,64
MVI_0506 05.jpg,50
MVI_0506 06.jpg,13
MVI_0506 07.jpg,50
MVI_0506 08.jpg,57
MVI_0506 09.jpg,59
MVI_0506 10.jpg,58
MVI_0506 11.jpg,67
MVI_0506 12.jpg,54
MVI_0506 13.jpg,55
MVI_0506 14.jpg,56
MVI_0506 15.jpg,65
MVI_0506 16.jpg,62
MVI_0506 17.jpg,77
MVI_0506 18.jpg,57
MVI_0506 19.jpg,36
MVI_0506 20.jpg,37
MVI_0506 21.jpg,30
MVI_0506 22.jpg,19
MVI_0506 23.jpg,45
MVI_0506 24.jpg,80
MVI_0506 25.jpg,69
MVI_0506 26.jpg,65
MVI_0506 27.jpg,52
MVI_0506 28.jpg,57
MVI_0506 29.jpg,53
MVI_0506 30.jpg,52
MVI_0506 31.jpg,31
MVI_0506 32.jpg,23
MVI_0506 33.jpg,27
MVI_0506 34.jpg,20
MVI_0506 35.jpg,28
MVI_0506 36.jpg,32
MVI_0506 37.jpg,43
MVI_0506 38.jpg,64
MVI_0506 39.jpg,68
MVI_0506 40.jpg,74
MVI_0506 41.jpg,50
MVI_0506 42.jpg,43
MVI_0506 43.jpg,61
MVI_0506 44.jpg,51
MVI_0506 45.jpg,72
MVI_0506 46.jpg,68
MVI_0506 47.jpg,62
MVI_0506 48.jpg,44
MVI_0506 49.jpg,43
MVI_0506 50.jpg,42
MVI_0506 51.jpg,60
MVI_0506 52.jpg,59
MVI_0506 53.jpg,63
MVI_0506 54.jpg,54
MVI_0506 55.jpg,56
MVI_0506 56.jpg,51
MVI_0506 57.jpg,66
MVI_0506 58.jpg,57
MVI_0506 59.jpg,64
MVI_0506 60.jpg,55
MVI_0506 61.jpg,44
MVI_0506 62.jpg,51
MVI_0506 63.jpg,59
MVI_0506 64.jpg,69
MVI_0506 65.jpg,65
MVI_0506 66.jpg,51
MVI_0506 67.jpg,48
MVI_0506 68.jpg,37
MVI_0506 69.jpg,40
MVI_0506 70.jpg,50
MVI_0506 71.jpg,60
MVI_0506 72.jpg,78
MVI_0506 73.jpg,65
MVI_0506 74.jpg,60
MVI_0506 75.jpg,56
MVI_0506 76.jpg,58
MVI_0506 77.jpg,63
