name,brightness
MVI_0498 01.jpg,14
MVI_0498 02.jpg,14
MVI_0498 03.jpg,14
MVI_0498 04.jpg,15
MVI_0498 05.jpg,49
MVI_0498 06.jpg,56
MVI_0498 07.jpg,53
MVI_0498 08.jpg,55
MVI_0498 09.jpg,49
MVI_0498 10.jpg,37
MVI_0498 11.jpg,28
MVI_0498 12.jpg,24
MVI_0498 13.jpg,20
MVI_0498 14.jpg,19
MVI_0498 15.jpg,21
MVI_0498 16.jpg,22
MVI_0498 17.jpg,32
MVI_0498 18.jpg,36
MVI_0498 19.jpg,39
MVI_0498 20.jpg,53
MVI_0498 21.jpg,62
MVI_0498 22.jpg,61
MVI_0498 23.jpg,64
MVI_0498 24.jpg,78
MVI_0498 25.jpg,55
MVI_0498 26.jpg,64
MVI_0498 27.jpg,62
MVI_0498 28.jpg,48
MVI_0498 29.jpg,45
MVI_0498 30.jpg,40
MVI_0498 31.jpg,27
MVI_0498 32.jpg,17
MVI_0498 33.jpg,11
MVI_0498 34.jpg,10
MVI_0498 35.jpg,9
MVI_0498 36.jpg,9
MVI_0498 37.jpg,11
MVI_0498 38.jpg,11
MVI_0498 39.jpg,10
MVI_0498 40.jpg,9
MVI_0498 41.jpg,13
MVI_0498 42.jpg,11
MVI_0498 43.jpg,17
MVI_0498 44.jpg,29
MVI_0498 45.jpg,48
MVI_0498 46.jpg,64
MVI_0498 47.jpg,77
MVI_0498 48.jpg,75
MVI_0498 49.jpg,67
MVI_0498 50.jpg,55
MVI_0498 51.jpg,56
MVI_0498 52.jpg,58
MVI_0498 53.jpg,57
MVI_0498 54.jpg,63
MVI_0498 55.jpg,74
MVI_0498 56.jpg,77
MVI_0498 57.jpg,73
MVI_0498 58.jpg,80
MVI_0498 59.jpg,55
MVI_0498 60.jpg,63
