name,brightness
MVI_0503 001.jpg,41
MVI_0503 002.jpg,41
MVI_0503 003.jpg,41
MVI_0503 004.jpg,47
MVI_0503 005.jpg,47
MVI_0503 006.jpg,59
MVI_0503 007.jpg,34
MVI_0503 008.jpg,55
MVI_0503 009.jpg,55
MVI_0503 010.jpg,38
MVI_0503 011.jpg,41
MVI_0503 012.jpg,42
MVI_0503 013.jpg,47
MVI_0503 014.jpg,46
MVI_0503 015.jpg,43
MVI_0503 016.jpg,42
MVI_0503 017.jpg,48
MVI_0503 018.jpg,73
MVI_0503 019.jpg,71
MVI_0503 020.jpg,63
MVI_0503 021.jpg,71
MVI_0503 022.jpg,62
MVI_0503 023.jpg,51
MVI_0503 024.jpg,64
MVI_0503 025.jpg,56
MVI_0503 026.jpg,47
MVI_0503 027.jpg,43
MVI_0503 028.jpg,32
MVI_0503 029.jpg,35
MVI_0503 030.jpg,42
MVI_0503 031.jpg,65
MVI_0503 032.jpg,65
MVI_0503 033.jpg,42
MVI_0503 034.jpg,60
MVI_0503 035.jpg,71
MVI_0503 036.jpg,45
MVI_0503 037.jpg,43
MVI_0503 038.jpg,47
MVI_0503 039.jpg,54
MVI_0503 040.jpg,56
MVI_0503 041.jpg,16
MVI_0503 042.jpg,15
MVI_0503 043.jpg,33
MVI_0503 044.jpg,26
MVI_0503 045.jpg,36
MVI_0503 046.jpg,47
MVI_0503 047.jpg,57
MVI_0503 048.jpg,49
MVI_0503 049.jpg,45
MVI_0503 050.jpg,64
MVI_0503 051.jpg,69
MVI_0503 052.jpg,49
MVI_0503 053.jpg,52
MVI_0503 054.jpg,46
MVI_0503 055.jpg,24
MVI_0503 056.jpg,20
MVI_0503 057.jpg,23
MVI_0503 058.jpg,30
MVI_0503 059.jpg,37
MVI_0503 060.jpg,42
MVI_0503 061.jpg,70
MVI_0503 062.jpg,75
MVI_0503 063.jpg,74
MVI_0503 064.jpg,69
MVI_0503 065.jpg,49
MVI_0503 066.jpg,40
MVI_0503 067.jpg,58
MVI_0503 068.jpg,53
MVI_0503 069.jpg,54
MVI_0503 070.jpg,60
MVI_0503 071.jpg,64
MVI_0503 072.jpg,57
MVI_0503 073.jpg,49
MVI_0503 074.jpg,49
MVI_0503 075.jpg,48
MVI_0503 076.jpg,55
MVI_0503 077.jpg,56
MVI_0503 078.jpg,58
MVI_0503 079.jpg,67
MVI_0503 080.jpg,30
MVI_0503 081.jpg,63
MVI_0503 082.jpg,69
MVI_0503 083.jpg,71
MVI_0503 084.jpg,65
MVI_0503 085.jpg,73
MVI_0503 086.jpg,74
MVI_0503 087.jpg,60
MVI_0503 088.jpg,62
MVI_0503 089.jpg,55
MVI_0503 090.jpg,67
MVI_0503 091.jpg,59
MVI_0503 092.jpg,62
MVI_0503 093.jpg,54
MVI_0503 094.jpg,51
MVI_0503 095.jpg,41
MVI_0503 096.jpg,61
MVI_0503 097.jpg,33
MVI_0503 098.jpg,68
MVI_0503 099.jpg,51
MVI_0503 100.jpg,45
MVI_0503 101.jpg,43
MVI_0503 102.jpg,38
MVI_0503 103.jpg,18
MVI_0503 104.jpg,20
MVI_0503 105.jpg,25
MVI_0503 106.jpg,21
MVI_0503 107.jpg,27
MVI_0503 108.jpg,34
MVI_0503 109.jpg,46
MVI_0503 110.jpg,56
MVI_0503 111.jpg,44
MVI_0503 112.jpg,72
MVI_0503 113.jpg,69
MVI_0503 114.jpg,67
MVI_0503 115.jpg,61
MVI_0503 116.jpg,35
MVI_0503 117.jpg,54
MVI_0503 118.jpg,47
MVI_0503 119.jpg,35
MVI_0503 120.jpg,45
MVI_0503 121.jpg,44
MVI_0503 122.jpg,39
MVI_0503 123.jpg,40
MVI_0503 124.jpg,51
MVI_0503 125.jpg,61
MVI_0503 126.jpg,54
MVI_0503 127.jpg,62
MVI_0503 128.jpg,60
MVI_0503 129.jpg,60
MVI_0503 130.jpg,62
MVI_0503 131.jpg,73
MVI_0503 132.jpg,76
MVI_0503 133.jpg,80
MVI_0503 134.jpg,70
MVI_0503 135.jpg,77
MVI_0503 136.jpg,57
MVI_0503 137.jpg,48
MVI_0503 138.jpg,48
MVI_0503 139.jpg,31
MVI_0503 140.jpg,22
MVI_0503 141.jpg,11
MVI_0503 142.jpg,12
MVI_0503 143.jpg,5
MVI_0503 144.jpg,5
MVI_0503 145.jpg,4
MVI_0503 146.jpg,3
MVI_0503 147.jpg,3
MVI_0503 148.jpg,2
MVI_0503 149.jpg,2
MVI_0503 150.jpg,2
MVI_0503 151.jpg,1
MVI_0503 152.jpg,1
MVI_0503 153.jpg,1
MVI_0503 154.jpg,2
MVI_0503 155.jpg,3
MVI_0503 156.jpg,1
MVI_0503 157.jpg,2
MVI_0503 158.jpg,9
MVI_0503 159.jpg,10
MVI_0503 160.jpg,8
MVI_0503 161.jpg,32
MVI_0503 162.jpg,6
MVI_0503 163.jpg,3
MVI_0503 164.jpg,16
MVI_0503 165.jpg,20
MVI_0503 166.jpg,30
MVI_0503 167.jpg,38
MVI_0503 168.jpg,36
MVI_0503 169.jpg,33
MVI_0503 170.jpg,28
MVI_0503 171.jpg,22
MVI_0503 172.jpg,18
MVI_0503 173.jpg,23
MVI_0503 174.jpg,17
MVI_0503 175.jpg,11
