name,brightness
MVI_0497 01.jpg,41
MVI_0497 02.jpg,41
MVI_0497 03.jpg,41
MVI_0497 04.jpg,39
MVI_0497 05.jpg,34
MVI_0497 06.jpg,24
MVI_0497 07.jpg,29
MVI_0497 08.jpg,37
MVI_0497 09.jpg,42
MVI_0497 10.jpg,50
MVI_0497 11.jpg,47
MVI_0497 12.jpg,54
MVI_0497 13.jpg,40
MVI_0497 14.jpg,36
MVI_0497 15.jpg,36
MVI_0497 16.jpg,34
MVI_0497 17.jpg,34
MVI_0497 18.jpg,31
MVI_0497 19.jpg,38
MVI_0497 20.jpg,39
MVI_0497 21.jpg,39
MVI_0497 22.jpg,33
MVI_0497 23.jpg,42
MVI_0497 24.jpg,43
MVI_0497 25.jpg,76
MVI_0497 26.jpg,75
MVI_0497 27.jpg,70
MVI_0497 28.jpg,60
MVI_0497 29.jpg,69
MVI_0497 30.jpg,54
MVI_0497 31.jpg,61
MVI_0497 32.jpg,68
MVI_0497 33.jpg,64
MVI_0497 34.jpg,53
MVI_0497 35.jpg,53
MVI_0497 36.jpg,54
MVI_0497 37.jpg,64
MVI_0497 38.jpg,69
MVI_0497 39.jpg,66
MVI_0497 40.jpg,61
MVI_0497 41.jpg,64
MVI_0497 42.jpg,73
MVI_0497 43.jpg,73
MVI_0497 44.jpg,65
MVI_0497 45.jpg,69
MVI_0497 46.jpg,65
MVI_0497 47.jpg,55
MVI_0497 48.jpg,60
MVI_0497 49.jpg,59
MVI_0497 50.jpg,58
MVI_0497 51.jpg,69
MVI_0497 52.jpg,65
MVI_0497 53.jpg,67
MVI_0497 54.jpg,58
MVI_0497 55.jpg,67
MVI_0497 56.jpg,69
MVI_0497 57.jpg,64
MVI_0497 58.jpg,62
MVI_0497 59.jpg,52
MVI_0497 60.jpg,67
MVI_0497 61.jpg,33
MVI_0497 62.jpg,39
MVI_0497 63.jpg,43
MVI_0497 64.jpg,48
MVI_0497 65.jpg,54
