name,brightness
MVI_0502 001.jpg,56
MVI_0502 002.jpg,56
MVI_0502 003.jpg,57
MVI_0502 004.jpg,50
MVI_0502 005.jpg,37
MVI_0502 006.jpg,56
MVI_0502 007.jpg,57
MVI_0502 008.jpg,52
MVI_0502 009.jpg,62
MVI_0502 010.jpg,59
MVI_0502 011.jpg,54
MVI_0502 012.jpg,48
MVI_0502 013.jpg,45
MVI_0502 014.jpg,51
MVI_0502 015.jpg,64
MVI_0502 016.jpg,47
MVI_0502 017.jpg,75
MVI_0502 018.jpg,59
MVI_0502 019.jpg,57
MVI_0502 020.jpg,59
MVI_0502 021.jpg,64
MVI_0502 022.jpg,66
MVI_0502 023.jpg,71
MVI_0502 024.jpg,69
MVI_0502 025.jpg,58
MVI_0502 026.jpg,69
MVI_0502 027.jpg,51
MVI_0502 028.jpg,55
MVI_0502 029.jpg,65
MVI_0502 030.jpg,64
MVI_0502 031.jpg,61
MVI_0502 032.jpg,61
MVI_0502 033.jpg,70
MVI_0502 034.jpg,64
MVI_0502 035.jpg,69
MVI_0502 036.jpg,50
MVI_0502 037.jpg,65
MVI_0502 038.jpg,73
MVI_0502 039.jpg,72
MVI_0502 040.jpg,68
MVI_0502 041.jpg,73
MVI_0502 042.jpg,54
MVI_0502 043.jpg,63
MVI_0502 044.jpg,55
MVI_0502 045.jpg,65
MVI_0502 046.jpg,61
MVI_0502 047.jpg,67
MVI_0502 048.jpg,65
MVI_0502 049.jpg,60
MVI_0502 050.jpg,53
MVI_0502 051.jpg,72
MVI_0502 052.jpg,59
MVI_0502 053.jpg,64
MVI_0502 054.jpg,68
MVI_0502 055.jpg,75
MVI_0502 056.jpg,80
MVI_0502 057.jpg,58
MVI_0502 058.jpg,72
MVI_0502 059.jpg,57
MVI_0502 060.jpg,52
MVI_0502 061.jpg,68
MVI_0502 062.jpg,64
MVI_0502 063.jpg,66
MVI_0502 064.jpg,63
MVI_0502 065.jpg,67
MVI_0502 066.jpg,63
MVI_0502 067.jpg,59
MVI_0502 068.jpg,61
MVI_0502 069.jpg,64
MVI_0502 070.jpg,58
MVI_0502 071.jpg,65
MVI_0502 072.jpg,59
MVI_0502 073.jpg,64
MVI_0502 074.jpg,67
MVI_0502 075.jpg,79
MVI_0502 076.jpg,49
MVI_0502 077.jpg,59
MVI_0502 078.jpg,46
MVI_0502 079.jpg,56
MVI_0502 080.jpg,51
MVI_0502 081.jpg,60
MVI_0502 082.jpg,66
MVI_0502 083.jpg,63
MVI_0502 084.jpg,48
MVI_0502 085.jpg,43
MVI_0502 086.jpg,44
MVI_0502 087.jpg,48
MVI_0502 088.jpg,81
MVI_0502 089.jpg,49
MVI_0502 090.jpg,54
MVI_0502 091.jpg,69
MVI_0502 092.jpg,74
MVI_0502 093.jpg,37
MVI_0502 094.jpg,64
MVI_0502 095.jpg,67
MVI_0502 096.jpg,48
MVI_0502 097.jpg,71
MVI_0502 098.jpg,38
MVI_0502 099.jpg,52
MVI_0502 100.jpg,52
MVI_0502 101.jpg,59
MVI_0502 102.jpg,59
MVI_0502 103.jpg,47
MVI_0502 104.jpg,39
MVI_0502 105.jpg,22
MVI_0502 106.jpg,17
MVI_0502 107.jpg,13
MVI_0502 108.jpg,19
MVI_0502 109.jpg,24
MVI_0502 110.jpg,28
MVI_0502 111.jpg,29
MVI_0502 112.jpg,35
MVI_0502 113.jpg,26
MVI_0502 114.jpg,43
MVI_0502 115.jpg,27
MVI_0502 116.jpg,15
MVI_0502 117.jpg,11
MVI_0502 118.jpg,9
MVI_0502 119.jpg,5
MVI_0502 120.jpg,3
MVI_0502 121.jpg,15
MVI_0502 122.jpg,18
MVI_0502 123.jpg,10
MVI_0502 124.jpg,25
MVI_0502 125.jpg,28
MVI_0502 126.jpg,15
MVI_0502 127.jpg,23
MVI_0502 128.jpg,28
MVI_0502 129.jpg,15
MVI_0502 130.jpg,34
MVI_0502 131.jpg,42
MVI_0502 132.jpg,23
MVI_0502 133.jpg,52
MVI_0502 134.jpg,68
MVI_0502 135.jpg,40
MVI_0502 136.jpg,55
MVI_0502 137.jpg,52
MVI_0502 138.jpg,28
MVI_0502 139.jpg,32
MVI_0502 140.jpg,34
MVI_0502 141.jpg,15
MVI_0502 142.jpg,13
MVI_0502 143.jpg,17
MVI_0502 144.jpg,19
