name,brightness
MVI_0504 001.jpg,22
MVI_0504 002.jpg,23
MVI_0504 003.jpg,23
MVI_0504 004.jpg,26
MVI_0504 005.jpg,24
MVI_0504 006.jpg,16
MVI_0504 007.jpg,13
MVI_0504 008.jpg,10
MVI_0504 009.jpg,10
MVI_0504 010.jpg,7
MVI_0504 011.jpg,9
MVI_0504 012.jpg,9
MVI_0504 013.jpg,17
MVI_0504 014.jpg,16
MVI_0504 015.jpg,34
MVI_0504 016.jpg,47
MVI_0504 017.jpg,17
MVI_0504 018.jpg,22
MVI_0504 019.jpg,28
MVI_0504 020.jpg,15
MVI_0504 021.jpg,23
MVI_0504 022.jpg,24
MVI_0504 023.jpg,24
MVI_0504 024.jpg,21
MVI_0504 025.jpg,19
MVI_0504 026.jpg,19
MVI_0504 027.jpg,21
MVI_0504 028.jpg,18
MVI_0504 029.jpg,19
MVI_0504 030.jpg,19
MVI_0504 031.jpg,15
MVI_0504 032.jpg,19
MVI_0504 033.jpg,33
MVI_0504 034.jpg,41
MVI_0504 035.jpg,57
MVI_0504 036.jpg,61
MVI_0504 037.jpg,67
MVI_0504 038.jpg,56
MVI_0504 039.jpg,65
MVI_0504 040.jpg,63
MVI_0504 041.jpg,59
MVI_0504 042.jpg,58
MVI_0504 043.jpg,56
MVI_0504 044.jpg,63
MVI_0504 045.jpg,69
MVI_0504 046.jpg,62
MVI_0504 047.jpg,57
MVI_0504 048.jpg,48
MVI_0504 049.jpg,41
MVI_0504 050.jpg,31
MVI_0504 051.jpg,30
MVI_0504 052.jpg,40
MVI_0504 053.jpg,34
MVI_0504 054.jpg,45
MVI_0504 055.jpg,36
MVI_0504 056.jpg,30
MVI_0504 057.jpg,36
MVI_0504 058.jpg,57
MVI_0504 059.jpg,66
MVI_0504 060.jpg,37
MVI_0504 061.jpg,50
MVI_0504 062.jpg,37
MVI_0504 063.jpg,34
MVI_0504 064.jpg,34
MVI_0504 065.jpg,40
MVI_0504 066.jpg,36
MVI_0504 067.jpg,55
MVI_0504 068.jpg,56
MVI_0504 069.jpg,66
MVI_0504 070.jpg,66
MVI_0504 071.jpg,68
MVI_0504 072.jpg,43
MVI_0504 073.jpg,61
MVI_0504 074.jpg,48
MVI_0504 075.jpg,38
MVI_0504 076.jpg,36
MVI_0504 077.jpg,43
MVI_0504 078.jpg,30
MVI_0504 079.jpg,38
MVI_0504 080.jpg,36
MVI_0504 081.jpg,46
MVI_0504 082.jpg,62
MVI_0504 083.jpg,61
MVI_0504 084.jpg,42
MVI_0504 085.jpg,42
MVI_0504 086.jpg,35
MVI_0504 087.jpg,34
MVI_0504 088.jpg,41
MVI_0504 089.jpg,24
MVI_0504 090.jpg,33
MVI_0504 091.jpg,29
MVI_0504 092.jpg,39
MVI_0504 093.jpg,54
MVI_0504 094.jpg,64
MVI_0504 095.jpg,36
MVI_0504 096.jpg,71
MVI_0504 097.jpg,46
MVI_0504 098.jpg,35
MVI_0504 099.jpg,38
MVI_0504 100.jpg,44
MVI_0504 101.jpg,54
MVI_0504 102.jpg,49
MVI_0504 103.jpg,41
MVI_0504 104.jpg,65
MVI_0504 105.jpg,62
MVI_0504 106.jpg,48
MVI_0504 107.jpg,52
MVI_0504 108.jpg,57
MVI_0504 109.jpg,53
